x,y,z
4.0475,1.3995,1.5000
4.1425,1.3964,1.5000
4.2375,1.3958,1.5000
4.3325,1.3925,1.5000
4.4275,1.3834,1.5000
4.5225,1.3715,1.5000
4.6175,1.3668,1.5000
4.7125,1.3780,1.5000
4.8075,1.4050,1.5000
4.9025,1.4425,1.5000
4.9975,1.4838,1.5000
5.0925,1.5218,1.5000
5.1875,1.5497,1.5000
5.2825,1.5650,1.5000
5.3775,1.5732,1.5000
5.4725,1.5819,1.5000
5.5675,1.5936,1.5000
5.6625,1.6056,1.5000
5.7575,1.6131,1.5000
5.8525,1.6105,1.5000
5.9475,1.5943,1.5000
6.0425,1.5686,1.5000
6.1375,1.5458,1.5000
6.2325,1.5367,1.5000
6.3275,1.5425,1.5000
6.4225,1.5584,1.5000
6.5175,1.5779,1.5000
6.6125,1.5943,1.5000
6.7075,1.6018,1.5000
6.8025,1.6005,1.5000
6.8975,1.5969,1.5000
6.9925,1.5974,1.5000
7.0875,1.6018,1.5000
7.1825,1.6056,1.5000
7.2775,1.6024,1.5000
7.3725,1.5850,1.5000
7.4675,1.5495,1.5000
7.5625,1.5014,1.5000
7.6575,1.4551,1.5000
7.7525,1.4226,1.5000
7.8475,1.4054,1.5000
7.9425,1.3989,1.5000
8.0375,1.3968,1.5000
8.1325,1.3936,1.5000
8.2275,1.3865,1.5000
8.3225,1.3792,1.5000
8.4175,1.3797,1.5000
8.5125,1.3921,1.5000
8.6075,1.4134,1.5000
8.7025,1.4375,1.5000
8.7975,1.4573,1.5000
8.8925,1.4653,1.5000
8.9875,1.4571,1.5000
9.0825,1.4371,1.5000
9.1775,1.4173,1.5000
9.2725,1.4070,1.5000
9.3675,1.4067,1.5000
9.4625,1.4127,1.5000
9.5575,1.4201,1.5000
9.6525,1.4244,1.5000
9.7475,1.4248,1.5000
9.8425,1.4276,1.5000
9.9375,1.4415,1.5000
10.0325,1.4695,1.5000
10.1275,1.5076,1.5000
10.2225,1.5496,1.5000
10.3175,1.5884,1.5000
10.4125,1.6163,1.5000
10.5075,1.6284,1.5000
10.6025,1.6274,1.5000
10.6975,1.6229,1.5000
10.7925,1.6214,1.5000
10.8875,1.6229,1.5000
10.9825,1.6234,1.5000
11.0775,1.6176,1.5000
11.1725,1.6006,1.5000
11.2675,1.5731,1.5000
11.3625,1.5448,1.5000
11.4575,1.5280,1.5000
11.5525,1.5273,1.5000
11.6475,1.5391,1.5000
11.7425,1.5568,1.5000
11.8375,1.5729,1.5000
11.9325,1.5803,1.5000
12.0275,1.5756,1.5000
12.1225,1.5633,1.5000
12.2175,1.5519,1.5000
12.3125,1.5454,1.5000
12.4075,1.5414,1.5000
12.5025,1.5342,1.5000
12.5975,1.5174,1.5000
12.6925,1.4858,1.5000
12.7875,1.4412,1.5000
12.8825,1.3957,1.5000
12.9775,1.3634,1.5000
13.0725,1.3492,1.5000
13.1675,1.3495,1.5000
13.2625,1.3582,1.5000
13.3575,1.3690,1.5000
13.4525,1.3768,1.5000
13.5475,1.3810,1.5000
13.6425,1.3873,1.5000
13.7375,1.4018,1.5000
13.8325,1.4244,1.5000
13.9275,1.4505,1.5000
14.0225,1.4741,1.5000
14.1175,1.4881,1.5000
14.2125,1.4868,1.5000
14.3075,1.4709,1.5000
14.4025,1.4511,1.5000
14.4975,1.4394,1.5000
14.5925,1.4397,1.5000
14.6875,1.4496,1.5000
14.7825,1.4640,1.5000
14.8775,1.4779,1.5000
14.9725,1.4880,1.5000
15.0675,1.4961,1.5000
15.1625,1.5095,1.5000
15.2575,1.5337,1.5000
15.3525,1.5671,1.5000
15.4475,1.6044,1.5000
15.5425,1.6387,1.5000
15.6375,1.6623,1.5000
15.7325,1.6686,1.5000
15.8275,1.6573,1.5000
15.9225,1.6380,1.5000
16.0175,1.6212,1.5000
16.1125,1.6103,1.5000
16.2075,1.6026,1.5000
16.3025,1.5928,1.5000
16.3975,1.5759,1.5000
16.4925,1.5494,1.5000
16.5875,1.5190,1.5000
16.6825,1.4967,1.5000
16.7775,1.4904,1.5000
16.8725,1.4984,1.5000
16.9675,1.5145,1.5000
17.0625,1.5310,1.5000
17.1575,1.5402,1.5000
17.2525,1.5361,1.5000
17.3475,1.5198,1.5000
17.4425,1.5003,1.5000
17.5375,1.4855,1.5000
17.6325,1.4760,1.5000
17.7275,1.4676,1.5000
17.8225,1.4545,1.5000
17.9175,1.4312,1.5000
18.0125,1.3964,1.5000
18.1075,1.3582,1.5000
18.2025,1.3308,1.5000
18.2975,1.3221,1.5000
18.3925,1.3305,1.5000
18.4875,1.3500,1.5000
18.5825,1.3741,1.5000
18.6775,1.3965,1.5000
18.7725,1.4130,1.5000
