x,y,z
13.1495,5.9421,1.5000
13.1462,5.8262,1.5000
13.1449,5.7104,1.5000
13.1373,5.5945,1.5000
13.1230,5.4787,1.5000
13.1171,5.3628,1.5000
13.1350,5.2470,1.5000
13.1743,5.1311,1.5000
13.2237,5.0152,1.5000
13.2707,4.8994,1.5000
13.3033,4.7835,1.5000
13.3187,4.6677,1.5000
13.3284,4.5518,1.5000
13.3418,4.4360,1.5000
13.3564,4.3201,1.5000
13.3637,4.2043,1.5000
13.3541,4.0884,1.5000
13.3262,3.9726,1.5000
13.2969,3.8567,1.5000
13.2867,3.7409,1.5000
13.2979,3.6250,1.5000
13.3203,3.5091,1.5000
13.3419,3.3933,1.5000
13.3519,3.2774,1.5000
13.3495,3.1616,1.5000
13.3465,3.0457,1.5000
13.3503,2.9299,1.5000
13.3555,2.8140,1.5000
13.3509,2.6982,1.5000
13.3244,2.5823,1.5000
13.2727,2.4665,1.5000
13.2137,2.3506,1.5000
13.1720,2.2348,1.5000
13.1530,2.1189,1.5000
13.1477,2.0030,1.5000
13.1451,1.8872,1.5000
13.1375,1.7713,1.5000
13.1287,1.6555,1.5000
13.1326,1.5396,1.5000
13.1534,1.4238,1.5000
13.1825,1.3079,1.5000
13.2500,1.2500,1.5000
13.1938,1.1351,1.5000
13.0814,1.1709,1.5000
12.9690,1.1995,1.5000
12.8567,1.2202,1.5000
12.7443,1.2406,1.5000
12.6319,1.2687,1.5000
12.5195,1.3001,1.5000
12.4071,1.3235,1.5000
12.2947,1.3308,1.5000
12.1823,1.3191,1.5000
12.0700,1.2942,1.5000
11.9576,1.2742,1.5000
11.8452,1.2744,1.5000
11.7328,1.2909,1.5000
11.6204,1.3111,1.5000
11.5080,1.3262,1.5000
11.3956,1.3338,1.5000
11.2833,1.3398,1.5000
11.1709,1.3550,1.5000
11.0585,1.3800,1.5000
10.9461,1.4024,1.5000
10.8337,1.4101,1.5000
10.7213,1.3957,1.5000
10.6089,1.3583,1.5000
10.4966,1.3095,1.5000
10.3842,1.2693,1.5000
10.2718,1.2453,1.5000
10.1594,1.2291,1.5000
10.0470,1.2110,1.5000
9.9346,1.1865,1.5000
9.8222,1.1604,1.5000
9.7099,1.1478,1.5000
9.5975,1.1587,1.5000
9.4851,1.1837,1.5000
9.3727,1.2066,1.5000
9.2603,1.2164,1.5000
9.1479,1.2084,1.5000
9.0356,1.1867,1.5000
8.9232,1.1664,1.5000
8.8108,1.1578,1.5000
8.6984,1.1558,1.5000
8.5860,1.1512,1.5000
8.4736,1.1384,1.5000
8.3612,1.1199,1.5000
8.2489,1.1098,1.5000
8.1365,1.1248,1.5000
8.0241,1.1639,1.5000
7.9117,1.2109,1.5000
7.7993,1.2529,1.5000
7.6869,1.2833,1.5000
7.5745,1.3018,1.5000
7.4622,1.3167,1.5000
7.3498,1.3363,1.5000
7.2374,1.3567,1.5000
7.1250,1.3681,1.5000
7.0126,1.3638,1.5000
6.9002,1.3420,1.5000
6.7878,1.3111,1.5000
6.6755,1.2907,1.5000
6.5631,1.2931,1.5000
6.4507,1.3108,1.5000
6.3383,1.3298,1.5000
6.2259,1.3416,1.5000
6.1135,1.3435,1.5000
6.0011,1.3415,1.5000
5.8888,1.3463,1.5000
5.7764,1.3578,1.5000
5.6640,1.3644,1.5000
5.5516,1.3557,1.5000
5.4392,1.3254,1.5000
5.3268,1.2751,1.5000
5.2144,1.2204,1.5000
5.1021,1.1822,1.5000
4.9897,1.1645,1.5000
4.8773,1.1563,1.5000
4.7649,1.1476,1.5000
4.6525,1.1344,1.5000
4.5401,1.1223,1.5000
4.4278,1.1250,1.5000
4.3154,1.1480,1.5000
4.2030,1.1793,1.5000
4.0906,1.2039,1.5000
3.9782,1.2128,1.5000
3.8658,1.2028,1.5000
3.7534,1.1813,1.5000
3.6411,1.1651,1.5000
3.5287,1.1632,1.5000
3.4163,1.1689,1.5000
3.3039,1.1728,1.5000
3.1915,1.1706,1.5000
3.0791,1.1658,1.5000
2.9667,1.1723,1.5000
2.8544,1.2031,1.5000
2.7420,1.2516,1.5000
2.6296,1.3013,1.5000
2.5172,1.3403,1.5000
2.4048,1.3629,1.5000
2.2924,1.3697,1.5000
2.1800,1.3709,1.5000
2.0677,1.3761,1.5000
1.9553,1.3821,1.5000
1.8429,1.3802,1.5000
1.7305,1.3640,1.5000
1.6181,1.3331,1.5000
1.5057,1.2981,1.5000
1.3933,1.2790,1.5000
1.2810,1.2840,1.5000
1.1686,1.3020,1.5000
1.0562,1.3186,1.5000
1.0000,1.2500,1.5000
